Delay X Y X Y
2352196.6 0 0 0.0018463 0.00035858
2352296.5 0 0 0.0018311 0.00028229
2352396.5 0 0 0.0018158 0.00024414
2352496.5 0 0 0.0018158 0.00028992
2352596.4 0 0 0.0017395 0.00032044
2352696.4 0 0 0.0016937 0.00032044
2352796.4 0 0 0.00177 0.00038147
2352896.3 0 0 0.0018463 0.00036621
2352996.3 0 0 0.0018845 0.00029755
2353096.3 0 0 0.0018463 0.0002594
2353196.3 0 0 0.00177 0.00024414
2353296.2 0 0 0.0016861 0.0002594
2353396.2 0 0 0.0016861 0.00021362
2353496.2 0 0 0.0015717 0.00014496
2353596.1 0 0 0.0016327 0.00013733
2353696.1 0 0 0.0016708 0.00016022
2353796.1 0 0 0.0016403 0.00013733
2353896 0 0 0.0016098 0.00016785
2353996 0 0 0.001648 0.00017548
2354096 0 0 0.0016022 0.00015259
2354195.9 0 0 0.0016861 0.00022888
2354295.9 0 0 0.00177 0.00023651
2354395.9 0 0 0.0017166 0.000206
2354495.9 0 0 0.0017853 0.00028229
2354595.8 0 0 0.0017471 0.00030518
2354695.8 0 0 0.0015259 0.0002594
2354795.8 0 0 0.0014954 0.00017548
2354895.7 0 0 0.0017014 0.00014496
2354995.7 0 0 0.0017319 0.0002594
2355095.7 0 0 0.0017395 0.00024414
2355195.6 0 0 0.0017166 0.000206
2355295.6 0 0 0.0017548 0.0002594
2355395.6 0 0 0.0017929 0.00029755
2355495.5 0 0 0.0017777 0.0003357
2355595.5 0 0 0.0017243 0.0003357
2355695.5 0 0 0.0017014 0.00023651
2355795.5 0 0 0.0016937 0.00024414
2355895.4 0 0 0.0017624 0.00026703
2355995.4 0 0 0.0017548 0.00028992
2356095.4 0 0 0.0017624 0.00030518
2356195.3 0 0 0.0017548 0.00034333
2356295.3 0 0 0.0017853 0.00044251
2356395.3 0 0 0.0019074 0.00054932
2356495.2 0 0 0.0018921 0.00057221
2356595.2 0 0 0.001854 0.00052643
2356695.2 0 0 0.001854 0.00041962
2356795.1 0 0 0.0019226 0.00036621
2356895.1 0 0 0.001854 0.00040436
2356995.1 0 0 0.0017777 0.00047302
2357095.1 0 0 0.0016632 0.00043488
2357195 0 0 0.001503 0.00036621
2357295 0 0 0.0015412 0.00031281
2357395 0 0 0.0015869 0.00032044
2357494.9 0 0 0.0016708 0.00040436
2357594.9 0 0 0.0017395 0.00044251
2357694.9 0 0 0.0016708 0.00045014
2357794.8 0 0 0.0015946 0.00043488
2357894.8 0 0 0.0015793 0.00038147
2357994.8 0 0 0.0015412 0.00036621
2358094.7 0 0 0.0015106 0.00032807
2358194.7 0 0 0.0015335 0.0003357
2358294.7 0 0 0.0015717 0.00032044
2358394.7 0 0 0.0015412 0.00030518
2358494.6 0 0 0.0016022 0.0002594
2358594.6 0 0 0.0016174 0.00025177
2358694.6 0 0 0.0015869 0.0002594
2358794.5 0 0 0.0015793 0.000206
2358894.5 0 0 0.0015869 9.9183E-5
2358994.5 0 0 0.0015488 0.00014496
2359094.4 0 0 0.0015564 0.00021362
2359194.4 0 0 0.0016861 0.00021362
2359294.4 0 0 0.0017166 0.00021362
2359394.3 0 0 0.001709 0.0002594
2359494.3 0 0 0.0017243 0.00027466
2359594.3 0 0 0.001709 0.0003357
2359694.3 0 0 0.0016785 0.00032807
2359794.2 0 0 0.0015869 0.00031281
2359894.2 0 0 0.0016327 0.00035095
2359994.2 0 0 0.0016861 0.00028992
2360094.1 0 0 0.001564 0.0002594
2360194.1 0 0 0.0015717 0.00027466
2360294.1 0 0 0.0016251 0.0003357
2360394 0 0 0.0016251 0.00035095
2360494 0 0 0.001648 0.00042725
2360594 0 0 0.0016861 0.00042725
2360693.9 0 0 0.0017395 0.00038147
2360793.9 0 0 0.0017853 0.00036621
2360893.9 0 0 0.0018005 0.00041199
2360993.9 0 0 0.0017853 0.00036621
2341000 0 0 0.0018311 0.000206
2341100 0 0 0.0017471 0.00028992
2341200 0 0 0.00177 0.0003891
2341299.9 0 0 0.0018616 0.00048065
2341399.9 0 0 0.0018234 0.00050354
2341499.9 0 0 0.0017548 0.00047302
2341599.8 0 0 0.0018311 0.00048829
2341699.8 0 0 0.0018234 0.00041199
2341799.8 0 0 0.001709 0.0002594
2341899.7 0 0 0.0016632 0.000206
2341999.7 0 0 0.0016861 0.00026703
2342099.7 0 0 0.00177 0.00034333
2342199.6 0 0 0.0017319 0.00042725
2342299.6 0 0 0.00177 0.00041962
2342399.6 0 0 0.001854 0.00035095
2342499.6 0 0 0.001854 0.00022888
2342599.5 0 0 0.0017777 0.00015259
2342699.5 0 0 0.0017319 0.00016785
2342799.5 0 0 0.0017395 0.00017548
2342899.4 0 0 0.00177 0.00022125
2342999.4 0 0 0.0017853 0.00019074
2343099.4 0 0 0.0017853 0.00016022
2343199.3 0 0 0.0018463 0.000206
2343299.3 0 0 0.00177 0.00019837
2343399.3 0 0 0.0017395 0.00016785
2343499.2 0 0 0.0017624 0.00023651
2343599.2 0 0 0.0017319 0.0002594
2343699.2 0 0 0.0016861 0.0002594
2343799.2 0 0 0.0016556 0.00024414
2343899.1 0 0 0.0015488 0.0002594
2343999.1 0 0 0.0015259 0.00031281
2344099.1 0 0 0.0015259 0.00029755
2344199 0 0 0.0015259 0.0002594
2344299 0 0 0.0015717 0.00021362
2344399 0 0 0.001648 0.00019837
2344498.9 0 0 0.0016022 0.00024414
2344598.9 0 0 0.0016632 0.00022888
2344698.9 0 0 0.0017395 0.00029755
2344798.8 0 0 0.0017548 0.00032807
2344898.8 0 0 0.0016861 0.00035095
2344998.8 0 0 0.0016708 0.00040436
2345098.8 0 0 0.0016556 0.00034333
2345198.7 0 0 0.0016708 0.00025177
2345298.7 0 0 0.0017853 0.00022888
2345398.7 0 0 0.0018311 0.00030518
2345498.6 0 0 0.001709 0.00032807
2345598.6 0 0 0.0016861 0.00024414
2345698.6 0 0 0.0017395 0.00023651
2345798.5 0 0 0.0017471 0.00034333
