Delay X Y X Y
-547003.22 0 0 0.00031281 8.3924E-5
-527003.25 0 0 0.00029755 9.9183E-5
-507003.28 0 0 0.00032807 0.00011444
-487003.31 0 0 0.00038147 0.00011444
-467003.34 0 0 0.00039673 0.00015259
-447003.37 0 0 0.00035095 0.00014496
-427003.4 0 0 0.00029755 0.0001297
-407003.43 0 0 0.00023651 0.00014496
-387003.46 0 0 0.00030518 0.00016022
-367003.5 0 0 0.00036621 0.00016785
-347003.53 0 0 0.00031281 9.9183E-5
-327003.56 0 0 0.00036621 6.1036E-5
-307003.59 0 0 0.00035858 3.8147E-5
-287003.62 0 0 0.00032807 3.8147E-5
-267003.65 0 0 0.00035095 5.3406E-5
-247003.68 0 0 0.00038147 7.6294E-5
-227003.71 0 0 0.00040436 7.6294E-5
-207003.74 0 0 0.00038147 4.5777E-5
-187003.77 0 0 0.00035095 -3.8147E-5
-167003.8 0 0 0.0003357 -0.00011444
-147003.83 0 0 0.00027466 -0.00010681
-127003.86 0 0 0.00031281 -7.6295E-6
-107003.89 0 0 0.00039673 0.00010681
-87003.923 0 0 0.00037384 9.1553E-5
-67003.954 0 0 0.00036621 3.0518E-5
-47003.984 0 0 0.00035095 2.2888E-5
-27004.015 0 0 0.00034333 6.8665E-5
-7004.0454 0 0 0.00038147 9.1553E-5
12995.924 0 0 0.0003891 9.9183E-5
32995.893 0 0 0.00029755 9.9183E-5
52995.863 0 0 0.00026703 9.1553E-5
72995.832 0 0 0.00028992 4.5777E-5
92995.802 0 0 0.00027466 4.5777E-5
112995.77 0 0 0.00022125 6.1036E-5
132995.74 0 0 0.0002594 6.8665E-5
152995.71 0 0 0.00031281 4.5777E-5
172995.68 0 0 0.00032807 3.8147E-5
192995.65 0 0 0.00036621 2.2888E-5
212995.62 0 0 0.00032807 3.0518E-5
232995.59 0 0 0.00037384 3.0518E-5
252995.56 0 0 0.00049591 3.0518E-5
272995.53 0 0 0.00049591 2.2888E-5
292995.5 0 0 0.00041962 5.3406E-5
312995.47 0 0 0.00032044 9.9183E-5
332995.44 0 0 0.00031281 0.00013733
352995.4 0 0 0.00036621 0.00011444
372995.37 0 0 0.00042725 9.1553E-5
392995.34 0 0 0.00043488 -1.5259E-5
412995.31 0 0 0.00044251 0
432995.28 0 0 0.00048829 3.8147E-5
452995.25 0 0 0.00050354 7.6295E-6
472995.22 0 0 0.00054932 0
492995.19 0 0 0.0005188 5.3406E-5
512995.16 0 0 0.0004654 0
532995.13 0 0 0.00047302 -3.8147E-5
552995.1 0 0 0.00049591 7.6295E-6
572995.07 0 0 0.00050354 2.2888E-5
592995.04 0 0 0.00048829 8.3924E-5
612995.01 0 0 0.00048065 0.00017548
632994.98 0 0 0.00052643 0.00019837
652994.95 0 0 0.0005951 0.00019837
672994.92 0 0 0.00057984 0.00018311
692994.89 0 0 0.00049591 0.00014496
712994.85 0 0 0.00048065 0.00016785
732994.82 0 0 0.0004654 0.00016785
752994.79 0 0 0.00053406 0.00018311
772994.76 0 0 0.00067902 0.00025177
