Delay X Y R DEG
2089999.1 -4.7684E-7 0 0.0016594 1.1016
2099999.1 0 0 0.0017462 1.8828
2109999.1 0 0 0.001853 1.75
2119999.1 0 0 0.0019331 0.89844
2129999 0 0 0.0019569 -0.070313
2139999 -4.7684E-7 0 0.0019102 1.2578
2149999 -4.7684E-7 0 0.0018997 0.64063
2159999 0 0 0.0019212 1.461
2169999 0 0 0.0019603 1.1094
2179999 0 0 0.0020633 0.03125
2189999 -4.7684E-7 0 0.0020294 -3.3203
2199998.9 -4.7684E-7 0 0.0019512 -3.9375
2209998.9 -4.7684E-7 0 0.0020223 -2.6563
2219998.9 0 0 0.0020466 -0.65625
2229998.9 -4.7684E-7 0 0.0020228 -1.4063
2239998.9 0 0 0.0020971 -1.5156
2249998.9 0 0 0.0021091 -0.078126
2259998.8 0 0 0.0021038 0.28125
2269998.8 0 0 0.0020495 -0.30469
2279998.8 0 0 0.0020132 -2.2422
2289998.8 0 0 0.0020223 -4.1172
2299998.8 0 0 0.0021706 -3.3672
2309998.8 0 0 0.0022974 -2
2319998.8 0 0 0.0023766 -1.4922
2329998.7 0 0 0.0022941 -1.7031
2339998.7 -4.7684E-7 0 0.0022941 -1.7891
2349998.7 0 0 0.0024815 -2.211
2359998.7 0 0 0.002491 -2.1719
2369998.7 0 0 0.0023918 -2.2969
2379998.7 0 0 0.0023427 -2.1094
2389998.7 0 0 0.002286 -1.5547
2399998.6 0 0 0.0023856 -0.96094
2409998.6 0 0 0.0023208 -0.64844
2419998.6 0 0 0.0021706 -0.49219
2429998.6 0 0 0.0021129 -0.98438
2439998.6 0 0 0.0021038 -0.5
2449998.6 0 0 0.002162 -0.97657
2459998.5 -4.7684E-7 0 0.0021472 -1.5078
2469998.5 0 0 0.0021806 -1.375
2479998.5 0 0 0.0021548 -1.4141
2489998.5 0 0 0.0021606 -1.5547
2499998.5 0 0 0.0021029 -1.5235
2509998.5 0 0 0.0020199 -1.6797
2519998.5 0 0 0.0019765 -1.461
2529998.4 0 0 0.0020285 -0.23438
2539998.4 -4.7684E-7 0 0.0020809 -0.3125
2549998.4 0 0 0.0020747 -1.2031
2559998.4 0 0 0.0019846 -1.086
2569998.4 0 0 0.0018478 -1.3594
2579998.4 -4.7684E-7 0 0.0017653 -2.4375
2589998.3 -4.7684E-7 0 0.001894 -2.2969
2599998.3 0 0 0.0020533 -1.2578
2609998.3 0 0 0.002132 -0.062501
2619998.3 0 0 0.0020943 0.11719
2629998.3 -4.7684E-7 0 0.0020962 -0.82813
2639998.3 0 0 0.0020776 -1.4531
2649998.3 -4.7684E-7 0 0.0020366 -1.8672
2659998.2 0 0 0.0020046 -2.0156
1500000 0 0 0.0014634 6.9922
1510000 0 0 0.0014749 7.375
1520000 -4.7684E-7 0 0.0014053 6.625
1530000 -4.7684E-7 0 0.0012784 7.1485
1539999.9 -4.7684E-7 0 0.0012078 6.4375
1549999.9 -4.7684E-7 0 0.0011416 5.711
1559999.9 -4.7684E-7 0 0.0011473 6.3516
1569999.9 -4.7684E-7 0 0.001174 7.0703
1579999.9 -4.7684E-7 0 0.0012336 6.4844
1589999.9 0 0 0.0013657 5.6563
1599999.9 0 0 0.0014153 5.2578
1609999.8 -4.7684E-7 0 0.0013242 5.8282
1619999.8 0 0 0.0012941 7.4453
1629999.8 0 0 0.0013113 7.0469
1639999.8 -4.7684E-7 0 0.0013766 5.8672
1649999.8 0 0 0.0014186 5.8594
1659999.8 0 0 0.0014887 4.4922
1669999.8 0 0 0.0015464 4.7032
1679999.7 -4.7684E-7 0 0.0016103 5.8125
1689999.7 -4.7684E-7 0 0.0015969 5.9297
1699999.7 0 0 0.0015402 6.2422
1709999.7 0 0 0.0015526 5.6016
1719999.7 0 0 0.0015359 5.0547
1729999.7 0 0 0.0015369 5.3516
1739999.6 -4.7684E-7 0 0.0015297 6.461
1749999.6 0 0 0.0015183 5.5
1759999.6 -4.7684E-7 0 0.0015516 4.1953
1769999.6 0 -4.7684E-7 0.0015259 4.9141
1779999.6 -4.7684E-7 0 0.0014629 4.6875
1789999.6 0 0 0.0014606 5.7813
1799999.6 -4.7684E-7 0 0.0015884 6.8047
1809999.5 0 0 0.0016832 6.8594
1819999.5 0 0 0.0016136 6.9375
1829999.5 0 0 0.0014873 5.6953
1839999.5 0 0 0.0014963 5.1016
1849999.5 -4.7684E-7 0 0.0015288 4.2891
1859999.5 0 0 0.0015745 4.6016
1869999.4 0 0 0.0015936 5.1563
1879999.4 0 0 0.0016155 4.9063
1889999.4 -4.7684E-7 0 0.0016327 5.0625
1899999.4 -4.7684E-7 0 0.001699 5.5078
1909999.4 0 0 0.00171 5.7891
1919999.4 -4.7684E-7 0 0.0017457 5.0235
1929999.4 0 0 0.0016914 4.8594
1939999.3 -4.7684E-7 -4.7684E-7 0.001596 5.4141
1949999.3 0 0 0.0016256 4.2735
1959999.3 -4.7684E-7 0 0.001637 4.7266
1969999.3 0 0 0.0016356 5.7891
1979999.3 0 0 0.0016236 5.6328
1989999.3 -4.7684E-7 0 0.0015783 4.5
1999999.2 0 0 0.0015826 3.2656
2009999.2 -4.7684E-7 0 0.0016036 3.3672
2019999.2 -4.7684E-7 0 0.0016136 2.7344
2029999.2 0 0 0.0016527 2.5469
2039999.2 -4.7684E-7 0 0.0016589 3.3281
2049999.2 0 0 0.0016112 3.6406
2059999.2 0 0 0.0015454 3.1172
2069999.1 0 0 0.0015016 0.92969
2079999.1 0 0 0.0014763 -1.0938
2089999.1 0 0 0.001513 -0.16406
2099999.1 0 0 0.0015879 1.0625
2109999.1 0 0 0.0016799 2.4844
2119999.1 0 0 0.0017672 1.6875
2129999 0 0 0.0018258 0.17969
2139999 0 0 0.0018702 -0.46875
2149999 0 0 0.0018993 -0.34375
2159999 0 0 0.0019522 0.69532
2169999 0 0 0.0020228 1.9063
2179999 0 0 0.0020361 1.7422
2189999 0 0 0.0019636 1.0391
2199998.9 0 0 0.0018296 0.75
2209998.9 0 0 0.0018034 0.22656
2219998.9 0 0 0.0018759 0.48438
2229998.9 0 0 0.0019498 0.69532
2239998.9 0 0 0.0019551 0.19531
2249998.9 0 0 0.0019274 0.53907
2259998.8 -4.7684E-7 0 0.0019112 0.51563
