Delay X Y R Y
1919999.4 -4.7684E-7 0 7.248E-5 -4.2439E-5
1929999.4 0 0 0.00012398 -0.00010014
1939999.3 0 0 2.2888E-5 -1.812E-5
1949999.3 0 0 8.3447E-5 -6.485E-5
1959999.3 0 0 0.00010395 -6.7235E-5
1969999.3 0 0 6.9142E-5 -2.9087E-5
1979999.3 0 0 0.00017738 -5.2929E-5
1989999.3 0 0 9.4414E-5 3.767E-5
1999999.2 0 0 9.7752E-5 9.203E-5
2009999.2 -4.7684E-7 0 7.8202E-5 3.6717E-5
2019999.2 -4.7684E-7 0 6.7711E-5 -6.1513E-5
2029999.2 0 0 0.00013638 -0.00013638
2039999.2 0 0 7.8202E-5 -5.2452E-5
2049999.2 -4.7684E-7 0 0.00012445 -1.0014E-5
2059999.2 0 0 8.7739E-5 8.4401E-5
2069999.1 0 0 0.00019646 0.00019837
2079999.1 0 0 0.00017786 0.00015974
2089999.1 -4.7684E-7 0 9.5368E-6 7.6295E-6
2099999.1 -4.7684E-7 0 1.7166E-5 8.5831E-6
2109999.1 0 0 9.6322E-5 2.1094
2119999.1 -4.7684E-7 0 0.0001359 -34.594
2129999 0 0 0.00010109 -20.891
2139999 -4.7684E-7 0 0.00017023 16.172
2149999 0 0 0.0001235 14.836
2159999 0 0 9.3937E-5 70.102
2169999 0 0 7.248E-5 45.563
2179999 0 0 0.00012684 -75.821
2189999 -4.7684E-7 0 9.203E-5 -77.36
2199998.9 0 0 7.7248E-5 33.149
2209998.9 0 0 5.5313E-5 35.196
2219998.9 0 0 4.3869E-5 168.26
2229998.9 -4.7684E-7 -4.7684E-7 3.0995E-5 -99.844
2239998.9 -4.7684E-7 0 7.9632E-5 -93.126
2249998.9 0 0 4.0055E-5 -118.07
2259998.8 0 0 0.00010634 -42.891
2269998.8 0 0 0.00013495 -69.282
2279998.8 -4.7684E-7 0 0.00010729 -54.508
2289998.8 0 0 0.00012112 -31.813
2299998.8 0 0 9.8229E-5 11.984
2309998.8 0 0 0.00013256 16.235
2319998.8 0 0 0.00014305 28.156
2329998.7 0 0 0.00014687 21.485
2339998.7 0 0 0.00012493 33.391
2349998.7 0 0 0.00010777 16.695
2359998.7 0 0 0.00014925 12.524
2369998.7 0 0 0.00017119 -23.922
2379998.7 0 0 0.00011158 -24.945
2389998.7 -4.7684E-7 0 0.00010729 17.016
2399998.6 0 0 0.00012827 42.61
2409998.6 0 0 0.00017357 33.25
2419998.6 0 0 0.00010967 34.985
2429998.6 0 0 0.00016356 26.141
2439998.6 0 0 0.00013781 15.328
2449998.6 0 0 0.0001359 44.5
2459998.5 0 0 9.06E-5 60.25
2469998.5 0 0 6.5804E-5 90.868
2479998.5 0 0 1.3352E-5 -151.3
2489998.5 0 0 8.4401E-5 -158.83
2499998.5 0 0 6.1989E-5 -103.75
2509998.5 0 0 0.0001173 -90.329
2519998.5 0 0 0.00010491 -48.297
2529998.4 0 0 0.00019217 -35.274
2539998.4 -4.7684E-7 0 0.00015974 -38.907
2549998.4 -4.7684E-7 0 9.4414E-5 -13.195
2559998.4 0 0 6.1989E-6 39.797
2569998.4 0 0 1.0967E-5 149.02
2579998.4 -4.7684E-7 0 0.00010157 -106.81
2589998.3 0 0 6.9142E-5 -96.157
2599998.3 0 0 0.00010061 -39.399
2609998.3 0 0 4.9591E-5 -85.571
2619998.3 0 0 8.5354E-5 139.2
2629998.3 0 0 7.391E-5 95.54
2639998.3 0 0 6.7235E-5 -51.516
2649998.3 -4.7684E-7 0 6.2466E-5 -53.383
2659998.2 0 0 0.00013495 14.734
1500000 -4.7684E-7 0 6.4374E-5 99.266
1510000 -4.7684E-7 0 6.5327E-5 135.82
1520000 -4.7684E-7 0 0.00010109 -169.17
1530000 -4.7684E-7 0 2.4319E-5 156.56
1539999.9 0 0 8.3924E-5 10.906
1549999.9 -4.7684E-7 0 4.1485E-5 114.22
1559999.9 0 0 0.00016356 147.77
1569999.9 0 0 0.00010014 156.49
1579999.9 -4.7684E-7 0 8.0586E-5 -134
1589999.9 0 0 2.3365E-5 20.469
1599999.9 0 0 0.00013065 5.3907
1609999.8 0 0 4.1485E-5 -1.961
1619999.8 0 0 3.2902E-5 142.64
1629999.8 0 0 0.00011253 -96.876
1639999.8 0 -4.7684E-7 0.00011587 -63.071
1649999.8 -4.7684E-7 0 0.00017834 -29.125
1659999.8 -4.7684E-7 0 0.00014782 -42.227
1669999.8 -4.7684E-7 0 8.0586E-5 -58.024
1679999.7 0 0 0.00011015 -112.63
1689999.7 -4.7684E-7 0 0.00011397 -126.14
1699999.7 0 0 0.00013065 -148.13
1709999.7 0 0 0.00010157 -134.21
1719999.7 -4.7684E-7 0 8.4401E-5 -140.34
1729999.7 0 0 9.9659E-5 -124.49
1739999.6 0 0 9.3937E-5 -155.99
1749999.6 0 0 5.8651E-5 175.84
1759999.6 0 0 0.00010014 178.85
1769999.6 0 0 8.3924E-5 140.02
1779999.6 0 0 8.2017E-5 155.56
1789999.6 0 0 8.6308E-5 165.15
1799999.6 0 0 6.485E-5 -171.45
1809999.5 -4.7684E-7 0 7.2957E-5 -172.24
1819999.5 0 0 0.00011444 -160.93
1829999.5 0 0 9.2984E-5 -159.61
1839999.5 -4.7684E-7 0 7.5818E-5 177.7
1849999.5 0 0 7.1049E-5 -140.47
1859999.5 0 0 5.9605E-5 -134.09
1869999.4 0 0 0.000103 -131.62
1879999.4 0 0 8.8215E-5 -108.92
1889999.4 0 0 0.00015021 -83.758
1899999.4 0 0 8.0109E-5 -57.047
1909999.4 0 0 0.00011206 1.0078
1919999.4 0 0 6.9142E-5 -12.039
