Delay X Y R DEG
1589999.9 -4.7684E-7 0 0.00038195 -3.6875
1599999.9 0 0 0.00046158 -6.0782
1609999.8 0 0 0.00048733 0.85938
1619999.8 0 0 0.00043726 6.5391
1629999.8 0 0 0.00037861 6.9844
1639999.8 0 0 0.0003953 3.7969
1649999.8 0 0 0.00050831 8.9532
1659999.8 0 0 0.00052882 9.586
1669999.8 -4.7684E-7 0 0.00053692 10.438
1679999.7 0 0 0.00056696 10.07
1689999.7 0 0 0.00054694 13.758
1699999.7 0 0 0.00051833 12.672
1709999.7 0 0 0.00049258 11.914
1719999.7 -4.7684E-7 0 0.00045872 7.6328
1729999.7 -4.7684E-7 0 0.00046063 0.40625
1739999.6 0 0 0.0005312 0.89844
1749999.6 0 0 0.00049496 8.4219
1759999.6 0 0 0.00043583 9.2735
1769999.6 0 0 0.00043345 5.1328
1779999.6 0 0 0.00040198 -8.1485
1789999.6 -4.7684E-7 0 0.00039339 -2.2422
1799999.6 0 0 0.00041151 2.961
1809999.5 0 0 0.00042582 11.922
1819999.5 0 0 0.00047064 12.586
1829999.5 0 0 0.0004859 17.602
1839999.5 -4.7684E-7 0 0.00044823 15.797
1849999.5 -4.7684E-7 0 0.00040722 2.8985
1859999.5 -4.7684E-7 0 0.0004859 -9.211
1869999.4 0 0 0.00053454 -1.1172
1879999.4 0 0 0.00047922 3.9531
1889999.4 0 0 0.00044108 -0.60938
1899999.4 -4.7684E-7 0 0.00043583 -2.375
1909999.4 -4.7684E-7 0 0.00043726 -2.0547
1919999.4 0 0 0.00044155 4.7969
1929999.4 0 0 0.00044585 8.9376
1939999.3 0 0 0.00050259 7.211
1949999.3 -4.7684E-7 0 0.00051689 11.32
1959999.3 0 0 0.00050593 6.2188
1969999.3 0 0 0.00055743 2.7031
1979999.3 0 0 0.00052453 3.4219
1989999.3 0 0 0.00052023 1.2813
1999999.2 0 0 0.00055886 0.23438
2009999.2 0 0 0.00053025 4.3594
2019999.2 0 0 0.00056553 5.3594
2029999.2 0 0 0.00059605 7.6094
2039999.2 0 0 0.00059176 7.211
2049999.2 0 0 0.00058604 3.0938
2059999.2 0 0 0.0005951 0.093751
2069999.1 -4.7684E-7 0 0.00058032 3.9844
2079999.1 -4.7684E-7 0 0.00056792 12.375
2089999.1 0 0 0.00055695 11.625
2099999.1 0 0 0.00059557 7.8438
2109999.1 0 0 0.00057698 6.6953
2119999.1 0 0 0.00057698 10.336
2129999 -4.7684E-7 0 0.00059939 9.8126
2139999 0 0 0.0006094 12.32
2149999 0 0 0.00056076 13.625
2159999 0 0 0.00053311 8.836
2169999 0 0 0.00056124 2.7422
2179999 -4.7684E-7 0 0.00061512 2.5391
2189999 0 0 0.00062323 4.75
2199998.9 0 0 0.00063277 3.7735
2209998.9 0 0 0.00062466 6.5469
2219998.9 0 0 0.00062132 6.3828
2229998.9 0 0 0.00061369 3.6406
2239998.9 0 0 0.00061703 -3.2813
2249998.9 0 0 0.00066758 -9.1407
2259998.8 0 0 0.00058079 -4.2266
2269998.8 0 0 0.00054789 -0.039063
2279998.8 0 0 0.00056744 1.8047
2289998.8 -4.7684E-7 0 0.00065661 6.9219
2299998.8 0 0 0.00066901 11.024
2309998.8 0 0 0.00074482 10.703
2319998.8 0 0 0.00075961 14.117
2329998.7 0 0 0.00081349 12.586
2339998.7 0 0 0.00083971 17.195
2349998.7 0 0 0.00077248 16.57
2359998.7 0 0 0.00070143 13.391
2369998.7 0 0 0.00064183 6.7735
2379998.7 0 0 0.0006466 4.3907
2389998.7 0 0 0.00070143 2.9844
2399998.6 0 0 0.00075293 5.5078
2409998.6 0 0 0.00076771 10.43
2419998.6 -4.7684E-7 0 0.00069952 13.313
2429998.6 -4.7684E-7 0 0.00068188 10.734
2439998.6 0 0 0.0006404 4.3203
2449998.6 0 0 0.0006814 5.6094
2459998.5 0 0 0.00065327 12.25
2469998.5 -4.7684E-7 0 0.00068474 12.984
2479998.5 0 0 0.00064516 11.594
2489998.5 0 0 0.0006361 2.0391
2499998.5 -4.7684E-7 0 0.00066996 -2.0469
2509998.5 0 -4.7684E-7 0.00070286 -0.32813
2519998.5 -4.7684E-7 0 0.00076724 4.0391
2529998.4 0 0 0.00080681 9.1016
2539998.4 0 0 0.00073386 3.5938
2549998.4 0 0 0.00066185 6.3203
2559998.4 0 0 0.00052453 7.8985
2569998.4 0 0 0.00059224 -1.6328
2579998.4 -4.7684E-7 0 0.00070811 1.1875
2589998.3 -4.7684E-7 0 0.00063897 1.4922
