Delay X Y R DEG
2529998.4 0 0 0.0039859 18.352
2539998.4 0 0 0.0039282 18.938
2549998.4 0 0 0.0038839 17.07
2559998.4 -4.7684E-7 0 0.0039602 17.297
2569998.4 -4.7684E-7 0 0.0039535 18.539
2579998.4 -4.7684E-7 0 0.0039468 19.977
2589998.3 0 0 0.0039005 19.86
2599998.3 0 0 0.0038662 18.703
2609998.3 0 0 0.0037575 18.422
2619998.3 0 0 0.0037203 18.922
2629998.3 0 0 0.0037246 18.227
2639998.3 0 0 0.0038133 18.742
2649998.3 0 0 0.0038119 18.539
2659998.2 -4.7684E-7 0 0.0038443 18.305
1500000 0 0 0.0026665 22.602
1510000 0 0 0.0025668 22.328
1520000 0 0 0.0025139 17.641
1530000 0 0 0.0026036 15.484
1539999.9 0 0 0.0025563 16.274
1549999.9 0 0 0.0024119 16.883
1559999.9 0 0 0.002378 15.664
1569999.9 -4.7684E-7 0 0.0024395 14.875
1579999.9 0 0 0.002471 14.563
1589999.9 0 0 0.0025029 15.563
1599999.9 -4.7684E-7 0 0.002542 15.617
1609999.8 0 0 0.0025392 16.445
1619999.8 -4.7684E-7 0 0.0025959 17.313
1629999.8 0 0 0.0026159 17.969
1639999.8 0 0 0.0025649 17.594
1649999.8 0 0 0.0025969 16.57
1659999.8 0 0 0.0026756 15.844
1669999.8 0 0 0.0026932 15.477
1679999.7 0 0 0.0027275 15.899
1689999.7 -4.7684E-7 0 0.0027166 16.024
1699999.7 0 0 0.0026975 16.055
1709999.7 0 0 0.0026722 16.524
1719999.7 0 0 0.0026636 17.024
1729999.7 0 0 0.0027194 16.797
1739999.6 0 0 0.002688 17.32
1749999.6 -4.7684E-7 0 0.0026136 16.453
1759999.6 -4.7684E-7 0 0.0026245 16.352
1769999.6 -4.7684E-7 0 0.0026708 16.43
1779999.6 -4.7684E-7 0 0.0026999 16.164
1789999.6 0 0 0.0026965 15.508
1799999.6 0 0 0.0027676 16.18
1809999.5 0 0 0.0027595 16.586
1819999.5 -4.7684E-7 0 0.0026846 16.281
1829999.5 -4.7684E-7 0 0.0027008 16.406
1839999.5 0 0 0.0027275 16.07
1849999.5 0 0 0.00277 16.524
1859999.5 -4.7684E-7 0 0.0028219 16.414
1869999.4 0 0 0.0028939 16.703
1879999.4 0 0 0.0029373 17.024
1889999.4 0 0 0.0029893 17.399
1899999.4 0 0 0.0030308 17.617
1909999.4 0 0 0.0030556 17.18
1919999.4 0 0 0.0029974 17.086
1929999.4 0 0 0.0029626 16.656
1939999.3 -4.7684E-7 0 0.0029755 16.883
1949999.3 0 0 0.0029922 17.297
1959999.3 -4.7684E-7 0 0.003007 17.485
1969999.3 0 0 0.0030985 17.719
1979999.3 -4.7684E-7 0 0.0031243 17.328
1989999.3 0 0 0.003098 16.883
1999999.2 0 0 0.0031023 16.281
2009999.2 0 0 0.0031629 16.5
2019999.2 0 0 0.0031967 16.227
2029999.2 0 0 0.0031715 16.32
2039999.2 -4.7684E-7 0 0.0031815 16.367
2049999.2 -4.7684E-7 0 0.0032792 16.313
2059999.2 0 0 0.0033679 17.453
2069999.1 0 0 0.0034127 17.047
2079999.1 0 -4.7684E-7 0.0034375 17.219
2089999.1 -4.7684E-7 0 0.0034318 17.063
2099999.1 0 0 0.0033689 16.82
2109999.1 -4.7684E-7 0 0.0033655 16.805
2119999.1 0 0 0.0034218 16.633
2129999 0 0 0.0034867 16.485
2139999 0 0 0.0035353 16.727
2149999 -4.7684E-7 0 0.0035672 17.422
2159999 0 0 0.0035892 17.336
2169999 0 0 0.0035978 16.914
2179999 0 0 0.0035749 17.383
2189999 0 0 0.0036249 17.453
2199998.9 0 0 0.0036659 16.75
2209998.9 0 0 0.0036855 16.703
2219998.9 -4.7684E-7 0 0.0037122 17.133
2229998.9 -4.7684E-7 -4.7684E-7 0.0037499 16.742
2239998.9 -4.7684E-7 0 0.0037704 16.5
2249998.9 0 0 0.0038333 16.438
2259998.8 0 0 0.0039368 16.836
2269998.8 0 0 0.0039921 17.242
2279998.8 0 0 0.0039959 17.766
2289998.8 -4.7684E-7 0 0.0040884 17.93
2299998.8 0 0 0.0041695 17.695
2309998.8 -4.7684E-7 0 0.0042658 17.813
2319998.8 0 0 0.0042949 17.766
2329998.7 0 0 0.0043135 17.578
2339998.7 0 0 0.0043645 17.469
2349998.7 0 0 0.0044198 17.602
2359998.7 0 0 0.0044656 17.758
2369998.7 -4.7684E-7 0 0.0044265 17.586
2379998.7 0 0 0.0044141 17.68
2389998.7 0 0 0.0043435 17.625
2399998.6 0 0 0.0042849 17.195
2409998.6 0 0 0.0042558 17.008
2419998.6 -4.7684E-7 0 0.0042196 17.422
2429998.6 -4.7684E-7 0 0.0042091 17.195
2439998.6 0 0 0.0042162 17.305
2449998.6 0 0 0.0042053 17.32
2459998.5 0 0 0.0042129 17.203
2469998.5 0 0 0.004272 16.774
2479998.5 0 0 0.0042377 17.07
2489998.5 -4.7684E-7 0 0.0042086 16.805
2499998.5 0 0 0.0041776 16.82
2509998.5 0 0 0.0041132 17.117
2519998.5 0 0 0.004056 16.938
2529998.4 0 0 0.0040083 16.594
2539998.4 0 0 0.0039783 16.695
2549998.4 0 0 0.0040088 16.149
2559998.4 -4.7684E-7 0 0.0040479 16.852
2569998.4 -4.7684E-7 0 0.0040188 17.406
2579998.4 -4.7684E-7 0 0.004004 17.656
2589998.3 -4.7684E-7 0 0.0039468 17.469
2599998.3 -4.7684E-7 0 0.0039449 17.055
2609998.3 0 0 0.0039554 16.961
2619998.3 0 0 0.0038657 16.891
2629998.3 -4.7684E-7 0 0.0037813 16.547
2639998.3 -4.7684E-7 0 0.0037799 16.055
2649998.3 0 0 0.0038696 16.164
2659998.2 -4.7684E-7 0 0.0039859 16.024
