Delay X Y X Y
-1527001.7 0 0 8.3924E-5 9.9183E-5
-1507001.8 0 0 6.8665E-5 0.00010681
-1487001.8 0 0 9.9183E-5 9.9183E-5
-1467001.8 0 0 9.9183E-5 0.00011444
-1447001.8 0 0 9.9183E-5 0.00015259
-1427001.9 0 0 8.3924E-5 0.00013733
-1407001.9 0 0 6.1036E-5 0.00012207
-1387001.9 0 0 7.6294E-5 0.0001297
-1367002 0 0 6.1036E-5 0.00010681
-1347002 0 0 8.3924E-5 0.00012207
-1327002 0 0 9.1553E-5 0.00010681
-1307002.1 0 0 9.9183E-5 9.9183E-5
-1287002.1 0 0 0.00012207 9.9183E-5
-1267002.1 0 0 0.00010681 0.00010681
-1247002.2 0 0 0.00013733 0.00012207
-1227002.2 0 0 0.00011444 0.0001297
-1207002.2 0 0 0.0001297 9.9183E-5
-1187002.2 0 0 9.9183E-5 9.9183E-5
-1167002.3 0 0 8.3924E-5 9.1553E-5
-1147002.3 0 0 0.00010681 9.9183E-5
-1127002.3 0 0 9.9183E-5 9.9183E-5
-1107002.4 0 0 9.1553E-5 0.00011444
-1087002.4 0 0 9.1553E-5 0.00012207
-1067002.4 0 0 8.3924E-5 0.00013733
-1047002.5 0 0 8.3924E-5 0.00012207
-1027002.5 0 0 9.1553E-5 0.00013733
-1007002.5 0 0 9.1553E-5 0.00014496
-987002.55 0 0 9.9183E-5 0.00012207
-967002.58 0 0 0.00010681 9.9183E-5
-947002.61 0 0 9.9183E-5 9.9183E-5
-927002.64 0 0 0.00010681 0.00011444
-907002.67 0 0 0.00011444 0.00013733
-887002.7 0 0 6.8665E-5 0.00013733
-867002.73 0 0 9.1553E-5 0.00016022
-847002.76 0 0 0.00010681 0.00016785
-827002.79 0 0 9.9183E-5 0.00013733
-807002.82 0 0 9.1553E-5 9.9183E-5
-787002.85 0 0 8.3924E-5 0.00013733
-767002.88 0 0 8.3924E-5 0.00011444
-747002.91 0 0 8.3924E-5 0.0001297
-727002.95 0 0 9.9183E-5 0.00013733
-707002.98 0 0 7.6294E-5 0.0001297
-687003.01 0 0 7.6294E-5 0.00013733
-667003.04 0 0 8.3924E-5 0.00016022
-647003.07 0 0 0.00010681 0.00016785
-627003.1 0 0 0.00011444 0.00015259
-607003.13 0 0 7.6294E-5 0.00015259
-587003.16 0 0 8.3924E-5 0.0001297
-567003.19 0 0 0.00011444 0.00010681
-547003.22 0 0 0.00011444 0.00010681
-527003.25 0 0 9.9183E-5 0.00012207
-507003.28 0 0 9.1553E-5 0.00010681
-487003.31 0 0 9.1553E-5 8.3924E-5
-467003.34 0 0 9.9183E-5 0.00010681
